,username,name,tweet
65,evanhouttesn,"Elizabeth Van Houtte, PhD, RSW","College and university shouldn't be a debt sentence. We need people to be able to get ahead after graduating. A quality, accessible post-secondary education is not only essential to our economy and future, it's essential to a just recovery from the pandemic. #onpse 2/"
66,expsgamble,Susan Gamble,"TWO YEARS AGO in @TheExpositor headlines Agricultural Society cancels Canada Day celebration City, county focus on education in enforcing pandemic restrictions Mass virus testing set for local retirement homes, day cares BCHS starts planning for resumption of elective surgeries"
67,readthelion,The Lion,"The Discovery Center awards program recognizes education innovators, providers and entrepreneurs who continued to support underserved communities during the pandemic.  https://t.co/Ph75Z5r6Ar"
68,staryy_cosmos,˗ˏˋI ain't the one´ˎ˗,"They're so many politicians who ran and want to pass that new system, but no one signed. Why? Because they're more than important things should focus on such as response to the pandemic and education here in ph."
69,borrheidburgh,The Auchenback Anarchist,"@ResearchErasmus @radicalmoog @josiekearns The state has two broad functions, 1) the welfare function - health care, education, etc. and  2) the state's punishment function - police, prisons, courts, etc.  During the pandemic the welfare function was put into  hibernation while the punishment system went into overdrive."
70,nate_manis,Nate Manis,A @StevenDelDuca gov will do what matters to Ontarians.  🏘Getting housing built 🌎Fighting climate change 💰Restoring economic dignity 😷Science on the pandemic 📚Quality education 🏥Better healthcare 👶Affordable childcare  I’m so proud to be an @OntLiberal today! #VoteFordOut
71,group_kq,KQ education group,Eight Lessons Learned From the COVID-19 Pandemic  https://t.co/W8AVPBkK1E
72,mandarinautomat,GOV.UK stats,Attendance in education and early years settings during the coronavirus (COVID-19) pandemic  https://t.co/eKNtKutIo2
73,gemreport,Global Education Monitoring Report UNESCO,The onset of the COVID-19 pandemic accelerated the need to apply education technology and the subsequent need to understand the implications.  https://t.co/FPRB2Z9qBo
74,jmilero,Jules Milero,"Network news reporting birthrate in US declined 20-21. Despite various reasons offered, no one mentioned that parents stuck at home 24/7 with their kids during pandemic suddenly realized that childcare and education are overwhelming responsibilities."
75,aryangnaidu,Aryan Gaurav Naidu (Karthik) 🇮🇳,@RahulGandhi Then there was no pandemic. Post pandemic lockdown the economic revenue across globe has been on a challenge rate. Well you please go on tours for your education on it. ThnQ!
76,mep_wcer,Madison Education Partnership,"Amazing talk from @AcmAtteberry on Friday! Her work on full-day vs half-day preschool gave us a lot to chew on: time use in type of activities, content taught, student outcomes, pandemic impacts, attendance, sleep, family time &amp; financials &amp; more  https://t.co/zfWe55MmUq"
77,dardenexeced,UVA Darden Executive Education & Lifelong Learning,"Dean Scott C. Beardsley delivered his State of the School address. The School has emerged from the pandemic stronger than before, he said. Read the full details of the address in The Darden Report.  https://t.co/Jw2U3DgdEy"
78,cstapff,Christian Stapff," https://t.co/baFyEWMVhK Equity, equity, equity...? We are prepared to spend when a crisis--COVID pandemic--hits. What about long-term investment in education. Australia is a good example where this is in stark contrast."
79,shaunadunlop,Shauna Dunlop,Our environment and the world we both work and learn in is so altered by the Pandemic. Our new research paper #ShiftingSands with @EmsiBG is an invaluable resource to help us all navigate the future national skills and tertiary education landscape ahead  https://t.co/PU7QOd88mY  https://t.co/URVPHPZ1qX
